"TOA5","Fluxtower CR3000","CR3000","3500","CR3000.Std.11","CPU:OzFlux_QUT_2010_11_09.CR3","12231","slow_core"
"TIMESTAMP","RECORD","Fsd_CNR1_Avg","Fsu_CNR1_Avg","Fld_CNR1_Avg","Flu_CNR1_Avg","Fn_NRL_Avg","Fg_CN3_01_Avg","Fh_Avg","Fe_raw_Avg","Fc_raw_Avg","Fm_Avg","Cc_7500_Avg","Ah_7500_Avg","ps_7500_Avg","Ux_CSAT_Avg","Uy_CSAT_Avg","Uz_CSAT_Avg","Tv_CSAT_Avg","Ta_HMP_01_Avg","RH_HMP_01_Avg","Ts_TCAV_01_Avg","Sws_616_01_raw_Avg","Rain_Tot"
"TS","RN","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","mg/m^2/s","kg/m/s^2","mg/m^3","g/m^3","kPa","m/s","m/s","m/s","C","C","fraction","C","ms","mm"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot"
"2013-01-17 18:30:00",28280,54.73768,14.73694,378.1209,445.6551,-17.67489,16.17434,12.05477,8.978608,0.04007825,0.05917195,661.9805,15.44121,100.2821,1.197639,0.9553618,0.1128456,27.42434,26.11136,0.5451627,29.3627,19.13294,0
"2013-01-17 19:00:00",28281,4.736668,1.767772,375.9068,433.0307,-34.4579,12.58322,4.25722,-2.550962,9.475107E+009,0.03369562,-4.105656E+015,15.70135,100.3279,0.872049,0.6540741,0.05300162,26.62341,25.1713,0.5895292,29.14149,19.12669,0
"2013-01-17 19:30:00",28282,-1.778533,1.567903,381.3956,426.7688,-39.72997,9.139066,-14.98677,25.35819,1.705424E+014,0.02323393,668.4737,15.87732,100.3626,0.8383363,0.7963808,0.0581011,25.99314,24.49352,0.6259013,28.71023,19.11994,0
"2013-01-17 20:00:00",28283,-2.01447,1.397801,374.3917,418.6223,-41.69988,6.154159,-19.78301,-5.453646,0.1398745,0.03358126,674.9027,16.0739,100.4061,0.3696673,0.4219734,0.0348358,25.27455,23.79696,0.6706746,28.27439,19.11146,0
"2013-01-17 20:30:00",28284,-1.853945,1.125333,372.755,410.4681,-35.37638,3.651444,-6.483671,0.3445668,0.03472688,0.005561812,686.3881,16.02972,100.4351,0.001844028,0.107914,0.005040653,24.26899,22.82026,0.7125397,27.90694,19.104,0
"2013-01-17 21:00:00",28285,-1.38309,1.323038,372.1304,406.4439,-31.76225,1.385842,-1.116118,-0.5896718,0.002214057,0.001468421,701.0811,15.94237,100.4647,-0.1843911,-0.2028016,-0.005718319,23.378,21.81533,0.7582032,27.52498,19.09575,0
"2013-01-17 21:30:00",28286,-0.8780972,1.77667,370.9189,404.2175,-32.14926,-0.6270559,2.40686,0.3044886,-0.05710093,0.0007735776,727.7139,15.84693,100.4845,-0.280661,-0.125798,-0.004360986,22.74604,21.12791,0.7910581,27.13746,19.08871,0
"2013-01-17 22:00:00",28287,-0.7391232,1.900928,370.1432,402.7837,-32.08091,-2.266811,1.065334,-0.6379945,-0.07051047,0.002778575,740.0853,15.7561,100.4925,-0.3535884,-0.166289,-0.001699695,22.30108,20.66323,0.8149801,26.78591,19.08189,0
"2013-01-17 22:30:00",28288,-0.7550668,1.778576,369.4012,401.3524,-30.5387,-3.521543,0.0818578,-0.1130056,-0.03769678,0.002222791,779.3752,15.62778,100.4855,-0.3617742,-0.05702972,-0.0001803889,21.80233,20.24234,0.8378103,26.46695,19.07507,0
"2013-01-17 23:00:00",28289,-0.9154598,1.538807,369.3649,399.2043,-29.20451,-4.546704,-1.20425,-0.1934689,0.02136968,0.002890193,786.5682,15.45997,100.4638,-0.2787676,-0.01738194,-0.008435681,21.34726,19.7965,0.85589,26.19499,19.06878,0
"2013-01-17 23:30:00",28290,-0.6795567,1.542479,371.6295,397.753,-28.69689,-5.467563,-1.622331,-1.585991,0.03182431,0.002182204,787.3008,15.25706,100.4412,-0.3849231,-0.09963485,-0.002242847,20.97386,19.44098,0.8714862,25.93581,19.06282,0
"2013-01-18 00:00:00",28291,-0.7494057,1.394614,373.7551,396.7365,-28.98791,-6.27787,-1.056048,-1.70392,0.09338275,0.001503016,796.0529,14.9971,100.4074,-0.2396514,-0.04642399,-0.008188042,20.58049,19.08136,0.8808399,25.68558,19.0568,0
"2013-01-18 00:30:00",28292,-0.6377072,1.278373,377.3917,396.9741,-27.82276,-6.99233,0.06522283,0.5244133,0.03503633,0.0009634301,803.4168,14.71951,100.3735,-0.360396,-0.187862,0.002937181,20.3064,18.79108,0.8918961,25.45067,19.05137,0
"2013-01-18 01:00:00",28293,-0.6438584,1.262465,379.877,396.7909,-27.08949,-7.597744,0.2271569,-0.3187805,-0.02496514,0.0008545575,817.513,14.56333,100.3288,-0.3025113,-0.1255353,-0.005719778,20.04628,18.54457,0.8986396,25.23206,19.04591,0
"2013-01-18 01:30:00",28294,-0.8142661,1.283852,379.5064,395.386,-29.06073,-8.093356,0.4723603,0.6953104,-0.06156129,0.001617361,822.2809,14.30271,100.2935,-0.2204123,0.00631775,-0.002474583,19.78255,18.35867,0.9037449,25.03888,19.04142,0
"2013-01-18 02:00:00",28295,-0.6743511,1.340512,380.2946,394.4398,-28.76442,-8.560152,-2.698272,-4.343338,-0.01986046,0.003205451,832.2019,13.55742,100.2731,-0.2609124,-0.07753557,-0.0004898611,19.44747,18.06367,0.9091042,24.86531,19.03596,0
"2013-01-18 02:30:00",28296,-0.5801654,1.625148,380.79,393.7,-29.82316,-9.063562,-0.5125299,1.599822,0.04305005,0.00170826,828.7774,12.69629,100.2739,-0.2163092,-0.03106613,-0.001146069,19.25261,17.86528,0.9137142,24.6824,19.0317,0
"2013-01-18 03:00:00",28297,-0.6937093,1.413126,381.6389,393.576,-29.08258,-9.538265,-0.8821011,-0.5009301,0.09072644,0.001115798,833.9084,11.82743,100.2602,-0.3472016,-0.1258416,-0.002476542,19.00677,17.62408,0.9176666,24.49734,19.02722,0
"2013-01-18 03:30:00",28298,-0.7110028,1.378774,381.8256,392.827,-28.65066,-9.98307,0.1391438,-2.4779,-0.0325277,0.002341705,820.1145,11.06859,100.2649,-0.1759705,-0.1170384,0.0003558889,18.82895,17.4191,0.920747,24.31312,19.02326,0
